week_start_date,post_count,posts_with_reach,total_views,total_reach,total_engagements,total_saves,total_shares,total_follows,avg_views_per_post,avg_reach_per_post,weekly_save_rate,weekly_share_rate,weekly_engagement_rate
2026-02-09 00:00:00,1,1,1576,785,150,7,30,0,1576.0,785.0,0.89,3.82,19.11
2026-02-02 00:00:00,1,1,696,436,37,2,1,0,696.0,436.0,0.46,0.23,8.49
2026-01-26 00:00:00,1,1,2815,1709,123,6,3,0,2815.0,1709.0,0.35,0.18,7.2
2025-09-15 00:00:00,1,1,4144,2591,172,3,37,0,4144.0,2591.0,0.12,1.43,6.64
2025-05-26 00:00:00,2,2,595094,421986,41452,1852,5727,570,297547.0,210993.0,0.44,1.36,9.82
2025-05-19 00:00:00,3,3,472228,322743,26577,1031,4565,257,157409.33,107581.0,0.32,1.41,8.23
2025-05-12 00:00:00,1,1,16902,12208,1649,98,172,23,16902.0,12208.0,0.8,1.41,13.51
2025-05-05 00:00:00,7,7,616694,467970,57545,2259,6456,218,88099.14,66852.86,0.48,1.38,12.3
2025-04-28 00:00:00,4,4,2536947,1375892,207403,4921,28212,611,634236.75,343973.0,0.36,2.05,15.07
2025-04-21 00:00:00,2,2,10431,7887,1130,60,164,6,5215.5,3943.5,0.76,2.08,14.33
2025-04-07 00:00:00,1,1,12748,9694,1729,114,208,9,12748.0,9694.0,1.18,2.15,17.84
2025-03-17 00:00:00,4,4,2221677,1394813,216282,5400,77573,249,555419.25,348703.25,0.39,5.56,15.51
2025-03-10 00:00:00,1,1,100387,74410,8523,259,849,20,100387.0,74410.0,0.35,1.14,11.45
2025-03-03 00:00:00,2,2,138653,103453,15870,630,4012,33,69326.5,51726.5,0.61,3.88,15.34
2025-02-24 00:00:00,2,2,1157606,667492,133677,2005,10624,147,578803.0,333746.0,0.3,1.59,20.03
2025-02-17 00:00:00,2,2,86019,54517,7294,399,674,83,43009.5,27258.5,0.73,1.24,13.38
2025-02-10 00:00:00,1,1,346832,250148,37208,1816,13495,307,346832.0,250148.0,0.73,5.39,14.87
2025-02-03 00:00:00,2,2,1192039,689043,117859,2083,2897,256,596019.5,344521.5,0.3,0.42,17.1
2025-01-27 00:00:00,2,2,243569,170658,28635,1408,2902,118,121784.5,85329.0,0.83,1.7,16.78
2025-01-20 00:00:00,3,3,13776,8865,726,29,88,1,4592.0,2955.0,0.33,0.99,8.19
2025-01-13 00:00:00,4,4,961557,628318,89363,3652,19469,376,240389.25,157079.5,0.58,3.1,14.22
2025-01-06 00:00:00,3,3,21502,14989,2646,193,446,6,7167.33,4996.33,1.29,2.98,17.65
2024-12-30 00:00:00,3,3,18305,13339,1696,96,244,4,6101.67,4446.33,0.72,1.83,12.71
2024-12-23 00:00:00,3,3,1398263,809592,102728,2326,13503,166,466087.67,269864.0,0.29,1.67,12.69
2024-12-16 00:00:00,3,3,2303852,1274182,159023,5321,20192,735,767950.67,424727.33,0.42,1.58,12.48
2024-12-09 00:00:00,1,1,19438,13363,1062,87,190,8,19438.0,13363.0,0.65,1.42,7.95
2024-12-02 00:00:00,1,1,7626,5605,394,14,24,4,7626.0,5605.0,0.25,0.43,7.03
2024-11-25 00:00:00,3,3,37150,23468,3324,202,384,32,12383.33,7822.67,0.86,1.64,14.16
2024-11-18 00:00:00,2,2,126261,86248,16565,704,2317,57,63130.5,43124.0,0.82,2.69,19.21
2024-11-11 00:00:00,3,3,3265219,2039346,485284,10709,58274,652,1088406.33,679782.0,0.53,2.86,23.8
2024-10-28 00:00:00,1,1,1777332,1330018,239591,7932,21702,841,1777332.0,1330018.0,0.6,1.63,18.01
2024-10-21 00:00:00,2,1,923440,3250,134868,9,19124,15,461720.0,3250.0,0.28,0.89,6.8
2024-10-14 00:00:00,2,2,706466,422767,99173,4432,14287,236,353233.0,211383.5,1.05,3.38,23.46
2024-10-07 00:00:00,2,2,8246,6256,488,28,9,15,4123.0,3128.0,0.45,0.14,7.8
2024-09-30 00:00:00,3,3,12458,8680,811,37,52,6,4152.67,2893.33,0.43,0.6,9.34
